song_id,file_id
17,1
28,2
10,3
29,4
30,5
31,6
32,7
33,8
34,9
35,10
36,11
37,12
42,13
43,14
44,15
45,16
53,17
54,18
55,19
56,20
57,21
58,22
39,23
59,24
60,26
61,27
62,28
63,29
64,30
65,31
66,32
67,33
68,34
69,36
70,37
73,38
74,39
75,40
77,42
78,43
94,44
95,45
96,46
97,47
98,48
104,49
105,50
109,51
110,52
111,53
118,54
119,55
122,56
123,57
124,58
129,59
130,60
131,61
132,62
133,63
135,64
139,65
140,66
141,67
142,68
143,69
145,70
146,71
147,72
148,73
149,74
150,75
151,76
152,77
153,78
154,79
155,80
156,81
157,82
158,83
159,84
160,85
161,86
163,87
164,88
165,89
166,90
167,91
168,92
169,93
170,94
171,95
172,96
173,97
174,98
175,99
177,100
178,101
179,102
180,103
181,104
182,105
183,106
184,107
185,108
186,109
187,110
188,111
189,112
190,113
191,114
192,115
193,116
194,117
195,118
196,119
197,120
198,121
199,122
200,123
201,124
202,125
203,126
204,127
205,128
213,135
214,136
215,137
216,138
217,139
218,140
219,141
220,142
221,143
222,144
236,145
237,146
238,147
239,148
240,149
241,150
242,151
243,152
244,153
245,154
246,155
247,156
248,157
249,158
250,159
251,160
252,161
253,162
254,163
255,164
256,165
257,166
258,167
10,168
259,169
260,170
261,171
262,172
263,173
264,174
265,175
266,176
267,177
268,178
269,179
270,180
271,181
272,182
273,183
274,184
275,185
276,186
277,187
278,188
279,189
280,190
281,191
282,192
283,193
284,194
285,195
286,196
287,197
288,198
289,199
290,200
291,201
292,202
293,203
294,204
295,205
296,206
297,207
298,208
299,209
300,210
301,211
302,212
303,213
304,214
305,215
306,216
307,217
308,218
309,219
310,220
311,221
312,222
313,223
314,224
315,225
316,226
317,227
318,228
319,229
320,230
321,231
322,232
323,233
324,234
325,235
326,236
327,237
328,238
329,239
330,240
331,241
332,242
333,243
334,244
335,245
336,246
337,247
338,248
339,249
340,250
341,251
342,252
343,253
344,254
345,255
346,256
347,257
348,258
349,259
350,260
351,261
352,262
353,263
354,264
355,265
356,266
357,267
358,268
359,269
360,270
361,271
362,272
363,273
364,274
365,275
366,276
367,277
368,278
369,279
370,280
371,281
372,282
373,283
374,284
375,285
376,286
377,287
378,288
379,289
380,290
381,291
382,292
383,293
384,294
385,295
386,296
387,297
388,298
389,299
390,300
391,301
392,302
393,303
394,304
395,305
396,306
397,307
398,308
399,309
400,310
401,311
402,312
403,313
404,314
405,315
406,316
407,317
408,318
409,319
410,320
411,321
412,322
413,323
414,324
415,325
416,326
417,327
418,328
419,329
420,330
421,331
422,332
423,333
424,334
425,335
426,336
427,337
428,338
429,339
430,340
431,341
432,342
433,343
434,344
435,345
436,346
437,347
438,348
439,349
440,350
441,351
442,352
443,353
444,354
445,355
446,356
447,357
448,358
449,359
450,360
451,361
452,362
453,363
454,364
455,365
456,366
457,367
458,368
459,369
460,370
461,371
462,372
463,373
464,374
465,375
466,376
467,377
468,378
469,379
470,380
471,381
472,382
473,383
474,384
475,385
476,386
477,387
478,388
479,389
480,390
481,391
482,392
483,393
484,394
485,395
486,396
487,397
488,398
489,399
490,400
491,401
492,402
493,403
494,404
495,405
496,406
497,407
498,408
499,409
500,410
501,411
502,412
503,413
504,414
505,415
506,416
507,417
508,418
509,419
510,420
511,421
512,422
513,423
514,424
515,425
516,426
517,427
518,428
519,429
520,430
521,431
522,432
523,433
524,434
525,435
526,436
527,437
528,438
529,439
530,440
531,441
532,442
533,443
534,444
535,445
536,446
537,447
538,448
539,449
540,450
541,451
542,452
543,453
544,454
545,455
546,456
547,457
548,458
549,459
550,460
551,461
552,462
553,463
554,464
555,465
556,466
557,467
558,468
559,469
560,470
561,471
562,472
563,473
564,474
565,475
566,476
567,477
568,478
569,479
570,480
571,481
572,482
573,483
574,484
575,485
576,486
577,487
578,488
579,489
580,490
581,491
582,492
583,493
584,494
585,495
586,496
587,497
588,498
589,499
590,500
591,501
592,502
593,503
594,504
595,505
596,506
597,507
598,508
599,509
600,510
601,511
602,512
603,513
604,514
605,515
606,516
607,517
608,518
609,519
610,520
611,521
612,522
613,523
614,524
615,525
616,526
617,527
618,528
619,529
620,530
621,531
622,532
623,533
624,534
625,535
626,536
627,538
628,539
629,540
630,541
631,542
632,543
633,544
634,545
635,546
636,547
637,548
638,549
639,550
640,551
641,552
642,553
643,554
644,555
645,556
646,557
647,558
648,559
649,560
650,561
651,562
652,563
653,564
654,565
655,566
656,567
657,568
658,569
659,570
660,571
661,572
662,573
663,574
664,575
665,576
666,577
667,578
668,579
669,580
670,581
671,582
672,583
673,584
674,585
675,586
676,587
677,588
678,589
679,590
680,591
681,592
682,593
683,594
684,595
685,596
686,597
687,598
688,599
689,600
690,601
691,602
692,603
693,604
694,605
695,606
696,607
697,608
698,609
699,610
700,611
701,612
702,613
703,614
704,615
